URL,Keyword,Issue,Priority,Clicks,Impressions,CTR,Position,Current Value,AI Task
https://www.paytm.com/personal-loan,Personal Loan,Low CTR Opportunity,High,18450.0,325000.0,0.0,7.2,,SEO recommendation
https://www.paytm.com/personal-loan,Personal Loan,Top 3 Opportunity,High,18450.0,325000.0,0.0,7.2,,SEO recommendation
https://www.paytm.com/personal-loan/apply,Apply Personal Loan,Low CTR Opportunity,High,4200.0,98000.0,0.0,12.8,,SEO recommendation
https://www.paytm.com/personal-loan/apply,Apply Personal Loan,Page 2 Ranking Opportunity,High,4200.0,98000.0,0.0,12.8,,SEO recommendation
https://www.paytm.com/credit-score,CIBIL Score,Low CTR Opportunity,High,15200.0,285000.0,0.0,8.4,,SEO recommendation
https://www.paytm.com/credit-score,CIBIL Score,Top 3 Opportunity,High,15200.0,285000.0,0.0,8.4,,SEO recommendation
https://www.paytm.com/emi-calculator,EMI Calculator,Low CTR Opportunity,High,22100.0,410000.0,0.0,6.1,,SEO recommendation
https://www.paytm.com/emi-calculator,EMI Calculator,Top 3 Opportunity,High,22100.0,410000.0,0.0,6.1,,SEO recommendation
https://www.paytm.com/loans/personal-loan,Personal Loan,Low CTR Opportunity,High,3200.0,76000.0,0.0,18.5,,SEO recommendation
https://www.paytm.com/loans/personal-loan,Personal Loan,Page 2 Ranking Opportunity,High,3200.0,76000.0,0.0,18.5,,SEO recommendation
https://www.paytm.com/insurance,Insurance,Low CTR Opportunity,High,9800.0,190000.0,0.0,10.2,,SEO recommendation
https://www.paytm.com/fastag,FASTag,Low CTR Opportunity,High,12600.0,210000.0,0.0,5.8,,SEO recommendation
https://www.paytm.com/fastag,FASTag,Top 3 Opportunity,High,12600.0,210000.0,0.0,5.8,,SEO recommendation
https://www.paytm.com/recharge/mobile,Mobile Recharge,Low CTR Opportunity,High,31500.0,580000.0,0.0,4.7,,SEO recommendation
https://www.paytm.com/recharge/mobile,Mobile Recharge,Top 3 Opportunity,High,31500.0,580000.0,0.0,4.7,,SEO recommendation
https://www.paytm.com/recharge/dth,DTH Recharge,Low CTR Opportunity,High,8900.0,145000.0,0.0,9.6,,SEO recommendation
https://www.paytm.com/recharge/dth,DTH Recharge,Top 3 Opportunity,High,8900.0,145000.0,0.0,9.6,,SEO recommendation
https://www.paytm.com/bank-account,Savings Account,Low CTR Opportunity,High,7600.0,165000.0,0.0,14.2,,SEO recommendation
https://www.paytm.com/bank-account,Savings Account,Page 2 Ranking Opportunity,High,7600.0,165000.0,0.0,14.2,,SEO recommendation
https://www.paytm.com/blog/personal-loan-guide,Personal Loan Guide,Low CTR Opportunity,High,5400.0,122000.0,0.0,16.7,,SEO recommendation
https://www.paytm.com/blog/personal-loan-guide,Personal Loan Guide,Page 2 Ranking Opportunity,High,5400.0,122000.0,0.0,16.7,,SEO recommendation
https://www.paytm.com/rewards,Paytm Rewards,Low CTR Opportunity,High,2300.0,62000.0,0.0,21.4,,SEO recommendation
https://www.paytm.com/credit-card,Credit Card,Low CTR Opportunity,High,6700.0,158000.0,0.0,13.9,,SEO recommendation
https://www.paytm.com/credit-card,Credit Card,Page 2 Ranking Opportunity,High,6700.0,158000.0,0.0,13.9,,SEO recommendation
https://www.paytm.com/contact,Paytm Contact,Low CTR Opportunity,High,1200.0,28000.0,0.0,9.1,,SEO recommendation
https://www.paytm.com/contact,Paytm Contact,Top 3 Opportunity,High,1200.0,28000.0,0.0,9.1,,SEO recommendation
https://www.paytm.com/old-loan-page,Personal Loan Online,Low CTR Opportunity,High,800.0,21000.0,0.0,24.6,,SEO recommendation
https://www.paytm.com/personal-loan,Personal Loan,Keyword Cannibalization,High,18450.0,325000.0,,7.2,,SEO recommendation
https://www.paytm.com/loans/personal-loan,Personal Loan,Keyword Cannibalization,High,3200.0,76000.0,,18.5,,SEO recommendation
https://www.paytm.com/old-loan-page,,HTTP Status Issue,Critical,,,,,404.0,Technical SEO recommendation
https://www.paytm.com/old-loan-page,,Indexability Issue,Critical,,,,,NOT INDEXABLE,Technical SEO recommendation
