URL,Keyword,Clicks,Impressions,CTR,Position,Issue
https://www.paytm.com/personal-loan,Personal Loan,18450.0,325000.0,0.0,7.2,Low CTR Opportunity
https://www.paytm.com/personal-loan,Personal Loan,18450.0,325000.0,0.0,7.2,Top 3 Opportunity
https://www.paytm.com/personal-loan/apply,Apply Personal Loan,4200.0,98000.0,0.0,12.8,Low CTR Opportunity
https://www.paytm.com/personal-loan/apply,Apply Personal Loan,4200.0,98000.0,0.0,12.8,Page 2 Ranking Opportunity
https://www.paytm.com/credit-score,CIBIL Score,15200.0,285000.0,0.0,8.4,Low CTR Opportunity
https://www.paytm.com/credit-score,CIBIL Score,15200.0,285000.0,0.0,8.4,Top 3 Opportunity
https://www.paytm.com/emi-calculator,EMI Calculator,22100.0,410000.0,0.0,6.1,Low CTR Opportunity
https://www.paytm.com/emi-calculator,EMI Calculator,22100.0,410000.0,0.0,6.1,Top 3 Opportunity
https://www.paytm.com/loans/personal-loan,Personal Loan,3200.0,76000.0,0.0,18.5,Low CTR Opportunity
https://www.paytm.com/loans/personal-loan,Personal Loan,3200.0,76000.0,0.0,18.5,Page 2 Ranking Opportunity
https://www.paytm.com/insurance,Insurance,9800.0,190000.0,0.0,10.2,Low CTR Opportunity
https://www.paytm.com/fastag,FASTag,12600.0,210000.0,0.0,5.8,Low CTR Opportunity
https://www.paytm.com/fastag,FASTag,12600.0,210000.0,0.0,5.8,Top 3 Opportunity
https://www.paytm.com/recharge/mobile,Mobile Recharge,31500.0,580000.0,0.0,4.7,Low CTR Opportunity
https://www.paytm.com/recharge/mobile,Mobile Recharge,31500.0,580000.0,0.0,4.7,Top 3 Opportunity
https://www.paytm.com/recharge/dth,DTH Recharge,8900.0,145000.0,0.0,9.6,Low CTR Opportunity
https://www.paytm.com/recharge/dth,DTH Recharge,8900.0,145000.0,0.0,9.6,Top 3 Opportunity
https://www.paytm.com/bank-account,Savings Account,7600.0,165000.0,0.0,14.2,Low CTR Opportunity
https://www.paytm.com/bank-account,Savings Account,7600.0,165000.0,0.0,14.2,Page 2 Ranking Opportunity
https://www.paytm.com/blog/personal-loan-guide,Personal Loan Guide,5400.0,122000.0,0.0,16.7,Low CTR Opportunity
https://www.paytm.com/blog/personal-loan-guide,Personal Loan Guide,5400.0,122000.0,0.0,16.7,Page 2 Ranking Opportunity
https://www.paytm.com/rewards,Paytm Rewards,2300.0,62000.0,0.0,21.4,Low CTR Opportunity
https://www.paytm.com/credit-card,Credit Card,6700.0,158000.0,0.0,13.9,Low CTR Opportunity
https://www.paytm.com/credit-card,Credit Card,6700.0,158000.0,0.0,13.9,Page 2 Ranking Opportunity
https://www.paytm.com/contact,Paytm Contact,1200.0,28000.0,0.0,9.1,Low CTR Opportunity
https://www.paytm.com/contact,Paytm Contact,1200.0,28000.0,0.0,9.1,Top 3 Opportunity
https://www.paytm.com/old-loan-page,Personal Loan Online,800.0,21000.0,0.0,24.6,Low CTR Opportunity
https://www.paytm.com/personal-loan,Personal Loan,18450.0,325000.0,,7.2,Keyword Cannibalization
https://www.paytm.com/loans/personal-loan,Personal Loan,3200.0,76000.0,,18.5,Keyword Cannibalization
